state,x,y
Aguascalientes, -58, -81
Baja California, -438, 265
Baja California Sur, -405, 137
Campeche, 343, -182
Chiapas, 266, -260
Chihuahua, -199, 167
Distrito Federal, 61, -178
Coahuila, -70, 125
Colima, -107, -183
Durango, -145, 23
Mexico, 33, -165
Guanajuato, -21, -113
Guerrero, 15, -242
Hidalgo, 55, -136
Jalisco, -104, -136
Michoacan, -37, -177
Morelos, 56, -198
Nayarit, -140, -81
Nuevo Leon, 22, 61
Oaxaca, 147, -262
Puebla, 90, -203
Queretaro, 24, -123
Quintana Roo, 407, -154
San Luis Potosi, -4, -66
Sinaloa, -254, 69
Sonora, -305, 204
Tabasco, 254, -206
Tamaulipas, 46, -35
Tlaxcala, 85, -169
Veracruz, 160, -196
Yucatan, 379, -99
Zacatecas, -73, -11